vacancy_id,profession,level,required_skills,vacancy_text
114,"Системный администратор (junior)
Компания: ООО Точка Роста
Город: Санкт-Петербург
Зарплата: 50915 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. Нужен человек для поддержки текущих задач.
Требования:
• опыт работы от 6 месяцев
• знание Zabbix
• знание Bash
• знание Linux

Обязанности:
• настройка рабочих мест
• поддержка серверов
• мониторинг инфраструктуры

Будет плюсом: опыт работы в небольшой команде",junior,"[""zabbix"", ""bash"", ""linux""]",ООО Точка Роста работает над веб‑платформами для малого бизнеса. Нужен человек для поддержки текущих задач.
115,"Backend Developer (middle)
Компания: ООО Онлайн Решения
Город: Санкт-Петербург
Зарплата: 120395 руб.
О компании: ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 2 лет
• знание Python
• знание PostgreSQL
• умение работать в команде

Обязанности:
• работа с БД
• поддержка API
• исправление backend‑ошибок",middle,"[""python"", ""postgresql"", ""умение работать в команде""]",ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Команда расширяется из-за роста проекта.
116,"Системный администратор (senior)
Компания: ООО Бизнес Партнер
Город: Казань
Зарплата: 231041 руб.
О компании: ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание VPN
• знание Bash
• знание Zabbix
• умение работать в команде
• внимательность к задачам

Обязанности:
• настройка рабочих мест
• поддержка серверов
• мониторинг инфраструктуры",senior,"[""vpn"", ""bash"", ""zabbix"", ""умение работать в команде"", ""внимательность к задачам""]","ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
117,"HR-менеджер (senior)
Компания: ИП Миронов
Город: Новосибирск
Зарплата: 218330 руб.
О компании: ИП Миронов поддерживает небольшие внутренние web‑проекты. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание интервью
• знание ATS
• знание подбор персонала
• умение работать в команде

Обязанности:
• взаимодействие с руководителями
• поиск кандидатов
• ведение базы кандидатов",senior,"[""интервью"", ""ats"", ""подбор персонала"", ""умение работать в команде""]","ИП Миронов поддерживает небольшие внутренние web‑проекты. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
118,"Специалист поддержки (junior)
Компания: ООО Интегра Софт
Город: Новосибирск
Зарплата: 79585 руб.
О компании: ООО Интегра Софт занимается заказной разработкой и поддержкой корпоративных систем. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 6 месяцев
• знание тикеты
• знание коммуникация

Обязанности:
• обработка обращений пользователей
• решение типовых проблем
• эскалация сложных инцидентов

Будет плюсом: понимание agile‑процессов",junior,"[""тикеты"", ""коммуникация""]",ООО Интегра Софт занимается заказной разработкой и поддержкой корпоративных систем. Команда расширяется из-за роста проекта.
119,"Backend Developer (senior)
Компания: ООО Северный Вектор
Город: Казань
Зарплата: 184322 руб.
О компании: ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание Docker
• знание Python
• знание PostgreSQL
• знание FastAPI
• умение работать в команде

Обязанности:
• разработка backend‑сервисов
• поддержка API
• исправление backend‑ошибок",senior,"[""docker"", ""python"", ""postgresql"", ""fastapi"", ""умение работать в команде""]","ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
120,"Системный администратор (senior)
Компания: ООО Проф Маркет
Город: Новосибирск
Зарплата: 229860 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание Bash
• знание Zabbix
• знание Linux
• знание VPN

Обязанности:
• настройка рабочих мест
• поддержка серверов
• решение технических проблем

Будет плюсом: опыт поддержки legacy‑проектов",senior,"[""bash"", ""zabbix"", ""linux"", ""vpn""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
121,"HR-менеджер (junior)
Компания: ООО Тех Лаб
Город: Казань
Зарплата: 68790 руб.
О компании: ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 6 месяцев
• знание интервью
• знание подбор персонала
• знание ATS

Обязанности:
• ведение базы кандидатов
• поиск кандидатов
• взаимодействие с руководителями",junior,"[""интервью"", ""подбор персонала"", ""ats""]",ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Команда расширяется из-за роста проекта.
122,"QA Engineer (junior)
Компания: ООО Северный Вектор
Город: Москва
Зарплата: 74911 руб.
О компании: ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Работа в спокойном темпе без жесткой бюрократии.
Требования:
• опыт работы от 6 месяцев
• знание SQL
• знание Jira
• знание API testing
• умение работать в команде

Обязанности:
• ручное тестирование web‑приложений
• регрессионное тестирование
• оформление баг‑репортов

Будет плюсом: опыт взаимодействия со смежными отделами",junior,"[""sql"", ""jira"", ""api testing"", ""умение работать в команде""]",ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Работа в спокойном темпе без жесткой бюрократии.
123,"Специалист поддержки (junior)
Компания: ООО Тех Лаб
Город: Казань
Зарплата: 45775 руб.
О компании: ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 6 месяцев
• знание CRM
• знание коммуникация
• умение работать в команде
• внимательность к задачам

Обязанности:
• обработка обращений пользователей
• эскалация сложных инцидентов
• решение типовых проблем

Будет плюсом: опыт поддержки legacy‑проектов",junior,"[""crm"", ""коммуникация"", ""умение работать в команде"", ""внимательность к задачам""]","ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
124,"HR-менеджер (middle)
Компания: ИП Миронов
Город: Санкт-Петербург
Зарплата: 86102 руб.
О компании: ИП Миронов поддерживает небольшие внутренние web‑проекты. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• опыт работы от 2 лет
• знание ATS
• знание интервью
• знание подбор персонала
• умение работать в команде

Обязанности:
• взаимодействие с руководителями
• поиск кандидатов
• проведение интервью",middle,"[""ats"", ""интервью"", ""подбор персонала"", ""умение работать в команде""]","ИП Миронов поддерживает небольшие внутренние web‑проекты. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
125,"HR-менеджер (junior)
Компания: ООО Дата Лайн
Город: Санкт-Петербург
Зарплата: 64382 руб.
О компании: ООО Дата Лайн работает с аналитикой и обработкой данных. Нужен человек для поддержки текущих задач.
Требования:
• знание интервью
• знание ATS
• умение работать в команде

Обязанности:
• проведение интервью
• поиск кандидатов
• взаимодействие с руководителями",junior,"[""интервью"", ""ats"", ""умение работать в команде""]",ООО Дата Лайн работает с аналитикой и обработкой данных. Нужен человек для поддержки текущих задач.
126,"Системный администратор (middle)
Компания: ООО Проф Маркет
Город: Москва
Зарплата: 127414 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки.
Требования:
• знание Linux
• знание VPN
• знание Zabbix
• знание Bash
• умение работать в команде

Обязанности:
• мониторинг инфраструктуры
• настройка рабочих мест
• поддержка серверов",middle,"[""linux"", ""vpn"", ""zabbix"", ""bash"", ""умение работать в команде""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки."
127,"Frontend Developer (junior)
Компания: АО Медиа Платформа
Город: Москва
Зарплата: 59152 руб.
О компании: АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• знание Git
• знание React
• знание Redux
• внимательность к задачам

Обязанности:
• исправление багов
• разработка пользовательских интерфейсов
• участие в командной разработке",junior,"[""git"", ""react"", ""redux"", ""внимательность к задачам""]","АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
128,"Специалист поддержки (senior)
Компания: ООО Проф Маркет
Город: Санкт-Петербург
Зарплата: 197288 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание CRM
• знание коммуникация
• внимательность к задачам

Обязанности:
• ведение внутренней документации
• обработка обращений пользователей
• эскалация сложных инцидентов",senior,"[""crm"", ""коммуникация"", ""внимательность к задачам""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
129,"Специалист поддержки (senior)
Компания: ООО Бизнес Партнер
Город: Казань
Зарплата: 238114 руб.
О компании: ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Работа в спокойном темпе без жесткой бюрократии.
Требования:
• знание CRM
• знание коммуникация

Обязанности:
• обработка обращений пользователей
• решение типовых проблем
• ведение внутренней документации",senior,"[""crm"", ""коммуникация""]",ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Работа в спокойном темпе без жесткой бюрократии.
130,"QA Engineer (junior)
Компания: ООО Онлайн Решения
Город: Санкт-Петербург
Зарплата: 69259 руб.
О компании: ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 6 месяцев
• знание API testing
• знание Jira
• знание Postman

Обязанности:
• регрессионное тестирование
• ручное тестирование web‑приложений
• оформление баг‑репортов",junior,"[""api testing"", ""jira"", ""postman""]","ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
131,"Системный администратор (middle)
Компания: ООО Точка Роста
Город: Екатеринбург
Зарплата: 137595 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. Команда расширяется из-за роста проекта.
Требования:
• знание Zabbix
• знание Bash
• умение работать в команде
• внимательность к задачам

Обязанности:
• мониторинг инфраструктуры
• настройка рабочих мест
• поддержка серверов

Будет плюсом: опыт поддержки legacy‑проектов",middle,"[""zabbix"", ""bash"", ""умение работать в команде"", ""внимательность к задачам""]",ООО Точка Роста работает над веб‑платформами для малого бизнеса. Команда расширяется из-за роста проекта.
132,"Системный администратор (middle)
Компания: ООО Дата Лайн
Город: Москва
Зарплата: 115129 руб.
О компании: ООО Дата Лайн работает с аналитикой и обработкой данных. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 2 лет
• знание Zabbix
• знание VPN
• знание Bash
• знание Linux
• умение работать в команде
• внимательность к задачам

Обязанности:
• поддержка серверов
• решение технических проблем
• настройка рабочих мест",middle,"[""zabbix"", ""vpn"", ""bash"", ""linux"", ""умение работать в команде"", ""внимательность к задачам""]",ООО Дата Лайн работает с аналитикой и обработкой данных. Команда расширяется из-за роста проекта.
133,"QA Engineer (middle)
Компания: ООО Онлайн Решения
Город: Казань
Зарплата: 93301 руб.
О компании: ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Нужен человек для поддержки текущих задач.
Требования:
• знание API testing
• знание SQL
• знание Postman
• знание Jira
• умение работать в команде

Обязанности:
• проверка API
• ручное тестирование web‑приложений
• оформление баг‑репортов

Будет плюсом: опыт взаимодействия со смежными отделами",middle,"[""api testing"", ""sql"", ""postman"", ""jira"", ""умение работать в команде""]",ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Нужен человек для поддержки текущих задач.
134,"HR-менеджер (middle)
Компания: ООО Городской Сервис
Город: Новосибирск
Зарплата: 95965 руб.
О компании: ООО Городской Сервис развивает цифровые сервисы для городской инфраструктуры. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 2 лет
• знание интервью
• знание ATS
• умение работать в команде

Обязанности:
• взаимодействие с руководителями
• поиск кандидатов
• проведение интервью",middle,"[""интервью"", ""ats"", ""умение работать в команде""]","ООО Городской Сервис развивает цифровые сервисы для городской инфраструктуры. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
135,"Специалист поддержки (middle)
Компания: АО Медиа Платформа
Город: Казань
Зарплата: 98536 руб.
О компании: АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Работа в спокойном темпе без жесткой бюрократии.
Требования:
• опыт работы от 2 лет
• знание CRM
• знание тикеты
• внимательность к задачам

Обязанности:
• решение типовых проблем
• эскалация сложных инцидентов
• обработка обращений пользователей",middle,"[""crm"", ""тикеты"", ""внимательность к задачам""]",АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Работа в спокойном темпе без жесткой бюрократии.
136,"QA Engineer (middle)
Компания: ООО Бизнес Партнер
Город: Санкт-Петербург
Зарплата: 97149 руб.
О компании: ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки.
Требования:
• опыт работы от 2 лет
• знание SQL
• знание Jira
• знание Postman
• умение работать в команде

Обязанности:
• оформление баг‑репортов
• проверка API
• регрессионное тестирование

Будет плюсом: опыт работы в небольшой команде",middle,"[""sql"", ""jira"", ""postman"", ""умение работать в команде""]","ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки."
137,"Frontend Developer (senior)
Компания: ООО Проф Маркет
Город: Новосибирск
Зарплата: 217133 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание Redux
• знание React
• знание TypeScript
• знание REST API

Обязанности:
• разработка пользовательских интерфейсов
• работа с API
• поддержка существующего frontend

Будет плюсом: понимание agile‑процессов",senior,"[""redux"", ""react"", ""typescript"", ""rest api""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
138,"QA Engineer (senior)
Компания: ООО Бизнес Партнер
Город: Москва
Зарплата: 192834 руб.
О компании: ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание API testing
• знание Jira
• знание SQL
• умение работать в команде

Обязанности:
• оформление баг‑репортов
• ручное тестирование web‑приложений
• регрессионное тестирование",senior,"[""api testing"", ""jira"", ""sql"", ""умение работать в команде""]","ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
139,"HR-менеджер (junior)
Компания: ООО Точка Роста
Город: Москва
Зарплата: 55231 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 6 месяцев
• знание ATS
• знание интервью
• знание подбор персонала
• внимательность к задачам

Обязанности:
• поиск кандидатов
• проведение интервью
• ведение базы кандидатов",junior,"[""ats"", ""интервью"", ""подбор персонала"", ""внимательность к задачам""]",ООО Точка Роста работает над веб‑платформами для малого бизнеса. Команда расширяется из-за роста проекта.
140,"Backend Developer (junior)
Компания: ООО Тех Лаб
Город: Екатеринбург
Зарплата: 63576 руб.
О компании: ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 6 месяцев
• знание Python
• знание PostgreSQL
• знание FastAPI
• внимательность к задачам

Обязанности:
• поддержка API
• работа с БД
• исправление backend‑ошибок",junior,"[""python"", ""postgresql"", ""fastapi"", ""внимательность к задачам""]",ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Команда расширяется из-за роста проекта.
141,"Системный администратор (senior)
Компания: ООО Дата Лайн
Город: Санкт-Петербург
Зарплата: 203914 руб.
О компании: ООО Дата Лайн работает с аналитикой и обработкой данных. Ищем специалиста в небольшую команду.
Требования:
• опыт работы от 4 лет
• знание VPN
• знание Zabbix
• знание Linux
• знание Bash
• умение работать в команде

Обязанности:
• решение технических проблем
• настройка рабочих мест
• поддержка серверов

Будет плюсом: понимание agile‑процессов",senior,"[""vpn"", ""zabbix"", ""linux"", ""bash"", ""умение работать в команде""]",ООО Дата Лайн работает с аналитикой и обработкой данных. Ищем специалиста в небольшую команду.
142,"QA Engineer (middle)
Компания: ООО Интегра Софт
Город: Екатеринбург
Зарплата: 128354 руб.
О компании: ООО Интегра Софт занимается заказной разработкой и поддержкой корпоративных систем. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 2 лет
• знание Jira
• знание SQL
• знание API testing
• умение работать в команде

Обязанности:
• проверка API
• регрессионное тестирование
• оформление баг‑репортов

Будет плюсом: опыт работы в небольшой команде",middle,"[""jira"", ""sql"", ""api testing"", ""умение работать в команде""]",ООО Интегра Софт занимается заказной разработкой и поддержкой корпоративных систем. Команда расширяется из-за роста проекта.
